X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5
1	1	4	4	1	13	18	46	58	12
3	1	1	NA	1	55	32	24	16	14
3	2	2	2	2	66	70	61	96	39
3	1	3	3	4	NA	38	62	61	17
4	4	1	1	4	67	23	38	29	28
3	2	2	2	1	74	64	95	75	14
4	1	1	1	4	8	31	44	35	54
2	2	1	4	4	83	56	37	60	48
1	4	4	4	4	29	28	NA	45	14
3	2	3	2	2	73	61	71	NA	93
2	4	1	1	4	67	20	16	14	11
4	1	4	4	4	47	60	10	20	28
3	3	1	1	1	79	NA	26	21	42
1	1	4	4	1	10	55	42	11	14
2	2	4	1	4	55	94	38	43	17
1	1	4	4	NA	35	46	24	64	90
1	4	NA	1	1	63	13	29	67	58
1	3	4	1	4	13	77	11	55	7
NA	2	1	4	NA	97	86	45	34	26
4	3	2	1	3	41	64	56	43	88
3	4	1	1	1	84	22	18	71	22
4	NA	2	2	3	28	57	85	67	65
3	2	1	4	2	62	45	NA	36	82
2	2	2	3	1	87	55	79	73	37
4	1	4	4	1	45	44	16	13	31
1	2	2	2	2	11	77	72	91	58
1	2	NA	3	3	15	63	86	78	78
1	4	4	1	4	60	15	NA	30	19
2	1	4	NA	4	86	45	34	26	40
1	2	2	2	2	40	72	88	NA	77
1	1	2	3	2	32	40	79	62	45
2	2	2	3	2	65	69	72	NA	78
NA	3	2	2	3	NA	83	NA	75	81
2	2	2	2	3	72	88	NA	77	79
1	1	4	1	1	29	35	4	19	33
3	3	3	3	4	75	87	71	68	24
2	1	4	NA	4	69	16	31	39	29
1	4	4	4	1	14	22	32	NA	64
3	2	3	3	1	88	87	59	78	26
2	3	4	4	3	63	88	13	21	91
2	2	3	2	4	82	95	66	78	NA
4	1	4	4	4	34	12	30	40	19
4	2	3	2	3	36	82	76	97	82
2	2	4	4	1	79	82	46	NA	5
3	1	4	4	3	61	11	33	24	82
2	4	NA	3	3	46	50	33	74	89
4	NA	1	4	4	20	87	31	46	11
2	2	2	2	3	88	96	54	76	80
1	4	1	4	1	25	46	28	50	NA
2	NA	3	2	1	81	54	67	76	9
4	3	2	NA	1	21	91	59	17	11
3	NA	3	2	2	78	76	73	91	69
3	2	2	3	2	94	82	95	66	78
1	4	1	4	4	54	47	60	10	20
1	3	2	3	2	NA	78	65	37	62
2	3	NA	3	3	90	91	54	52	80
4	3	2	1	3	21	57	78	39	60
3	4	1	4	1	62	42	34	NA	39
4	1	4	4	2	46	60	46	58	76
3	3	2	1	1	82	77	50	35	46
2	1	1	1	4	92	31	23	58	24
4	1	1	3	3	NA	39	7	73	NA
3	2	3	4	4	80	88	89	51	26
4	1	3	2	2	57	33	88	80	92
3	2	3	2	2	75	76	71	NA	87
1	1	1	4	4	18	23	28	14	49
3	3	2	3	4	79	80	79	89	36
4	4	4	4	NA	10	23	20	41	45
1	3	3	4	4	47	64	78	67	22
2	1	3	3	1	76	9	67	53	28
3	3	2	3	3	81	67	50	75	87
2	4	4	2	4	47	9	35	90	11
2	2	2	3	1	88	NA	77	79	NA
3	1	1	1	4	73	37	30	16	29
3	3	2	2	1	54	77	78	68	14
4	4	1	4	1	45	14	9	14	NA
NA	1	1	1	3	21	6	9	NA	78
2	4	1	4	3	69	57	23	41	54
2	3	1	4	4	86	61	11	33	24
1	1	1	3	2	9	11	3	55	NA
3	2	1	4	1	39	91	42	29	28
4	1	1	1	4	26	19	28	32	30
1	2	3	2	2	6	48	81	75	60
4	3	3	2	4	36	NA	88	47	9
3	4	4	1	1	92	36	8	31	44
1	NA	1	4	1	24	16	14	75	6
1	1	3	1	4	12	35	89	24	31
2	2	3	2	4	91	70	77	65	16
2	3	2	2	2	90	66	70	61	96
1	1	1	4	4	64	27	11	37	70
1	3	2	3	NA	85	50	72	35	58
2	2	NA	1	4	73	86	70	29	61
3	1	4	1	1	78	26	45	30	14
NA	3	2	2	NA	80	68	65	56	62
NA	4	1	4	3	26	40	13	36	NA
3	2	NA	3	2	98	58	89	83	78
1	1	1	4	1	16	42	4	5	29
4	4	3	2	1	68	21	57	78	39
NA	2	2	3	2	70	83	51	74	64
4	2	3	3	1	33	64	32	81	47
3	3	2	4	4	78	66	NA	24	34
3	4	1	1	4	89	36	4	58	32
4	1	4	3	3	40	13	36	NA	88
NA	4	3	4	4	62	42	92	36	8
2	2	3	3	1	NA	93	91	94	NA
4	4	1	1	1	36	8	31	44	35
1	1	4	4	1	26	7	8	1	13
1	4	4	4	3	14	4	68	21	57
3	1	4	3	1	80	12	34	55	32
3	1	1	4	4	61	NA	39	49	47
3	1	4	3	3	94	41	23	83	40
4	1	4	4	4	21	33	18	51	30
NA	3	3	2	2	12	74	33	77	82
2	3	2	2	3	61	75	68	76	89
4	4	4	4	3	54	25	29	80	74
1	1	1	1	4	29	23	23	41	11
1	4	2	3	3	29	8	51	98	80
4	1	2	2	3	50	NA	100	NA	61
1	3	2	3	3	32	NA	74	91	88
2	2	NA	2	2	65	73	79	98	75
2	1	1	4	4	50	35	46	24	64
2	2	2	2	NA	77	72	91	58	72
2	3	2	1	1	75	81	70	12	35
2	2	1	1	4	36	87	29	35	4
NA	1	1	3	3	92	36	24	54	77
NA	3	3	4	2	33	74	89	27	50
2	3	2	4	1	96	90	93	53	37
3	4	2	3	NA	89	27	50	52	68
1	3	3	2	2	38	NA	68	81	83
4	4	4	4	4	60	48	30	18	46
4	4	4	1	3	NA	28	25	54	73
1	3	3	3	2	55	64	96	75	76
4	2	3	2	3	15	52	49	96	90
3	2	1	3	2	64	56	43	88	74
1	4	4	2	NA	60	46	58	76	21
4	3	3	2	3	18	91	75	63	88
1	1	1	1	3	41	29	28	26	79
3	2	3	2	3	78	65	37	62	49
3	2	2	3	2	46	78	61	75	68
3	3	3	3	3	84	74	91	69	NA
1	4	1	4	1	48	8	42	18	NA
3	2	4	3	2	86	68	41	64	56
1	NA	3	2	2	57	80	68	65	56
1	3	2	3	NA	26	79	56	77	54
1	1	1	3	2	24	24	11	45	80
3	3	NA	3	3	74	82	NA	67	78
3	3	1	1	4	54	93	29	17	26
NA	3	2	2	1	66	85	36	87	29
4	2	2	3	2	22	91	70	77	65
1	1	1	3	4	NA	26	13	77	11
3	2	3	3	2	76	97	82	77	50
4	2	2	3	3	20	83	71	83	46
2	2	2	1	1	80	90	68	NA	48
2	2	1	1	4	80	92	29	19	8
4	4	NA	1	1	19	13	57	35	42
4	1	4	4	3	29	28	19	18	65
1	NA	1	3	3	29	NA	55	64	96
2	2	3	2	3	49	91	62	33	85
4	1	4	1	2	23	38	NA	32	85
3	3	1	4	1	59	78	26	45	30
3	3	3	2	NA	82	49	80	64	9
3	2	1	3	2	77	78	32	NA	74
3	2	2	1	NA	65	41	97	57	80
2	3	4	1	1	79	89	36	4	58
1	4	1	1	1	42	18	NA	26	13
3	2	4	1	4	90	93	53	37	26
1	1	4	4	2	35	42	60	15	52
2	2	3	3	3	89	71	93	88	42
1	1	3	3	4	41	47	64	78	67
3	1	4	4	1	81	47	24	16	58
2	2	3	3	2	90	80	77	80	69
2	NA	3	2	NA	56	62	90	98	82
1	4	3	3	1	23	41	54	93	29
2	3	2	2	2	51	74	64	95	75
4	1	1	4	4	23	38	29	28	NA
2	2	2	4	1	78	55	36	NA	16
NA	1	1	NA	2	17	11	19	70	83
3	1	1	4	4	93	29	17	26	42
1	4	4	3	2	11	33	24	82	87
3	3	NA	4	1	54	93	80	55	44
4	1	1	4	1	36	4	58	32	19
4	4	4	2	4	18	51	30	93	37
3	3	3	2	2	48	60	69	85	45
2	1	1	4	1	92	29	19	8	25
1	4	1	4	NA	19	31	63	13	29
1	3	3	NA	2	7	73	NA	97	86
2	3	1	4	4	56	97	60	15	NA
1	4	1	1	1	37	26	21	19	35
3	2	NA	3	2	76	81	54	67	76
3	2	2	3	2	83	NA	75	81	70
2	1	4	1	4	75	3	23	38	NA
1	4	4	1	1	61	49	21	9	11
1	1	3	4	4	45	40	93	41	57
2	2	1	1	1	74	65	29	23	23
1	4	4	1	4	13	27	24	56	40
2	3	3	2	3	67	79	80	79	89
3	3	3	2	2	94	68	58	80	90
4	1	4	1	1	45	23	26	19	28
2	2	3	3	3	82	72	82	49	80
4	1	2	NA	3	24	14	92	66	85
3	3	2	4	4	NA	88	47	9	35
1	4	1	1	4	35	4	19	33	28
3	2	1	2	4	40	70	20	NA	28
2	3	3	3	2	48	48	60	69	85
4	4	3	2	2	19	18	65	41	97
2	3	1	1	3	96	93	41	47	64
4	1	1	1	3	26	21	19	35	70
NA	3	3	2	4	90	78	66	NA	24
4	3	3	3	2	21	94	68	58	80
3	2	3	2	3	94	54	46	62	93
3	4	4	3	2	88	13	21	91	59
1	NA	4	3	4	6	62	42	92	36
3	2	2	2	1	58	80	90	68	NA
3	4	1	2	NA	68	24	14	92	66
4	4	3	2	NA	13	21	91	59	17
2	1	4	4	4	56	37	60	48	30
1	1	4	4	4	14	39	NA	28	25
4	NA	1	1	1	13	29	67	58	17
3	2	2	2	3	33	77	82	72	82
3	2	2	3	3	71	NA	93	91	94
4	1	1	1	4	58	12	12	21	10
4	4	4	1	NA	51	26	40	6	62
3	3	3	3	3	81	58	NA	48	93
1	2	2	4	1	31	84	69	57	23
4	4	1	1	1	49	21	9	11	3
4	4	4	3	3	29	62	18	91	75
4	1	4	4	4	67	28	52	17	25
NA	3	3	1	1	58	79	NA	26	21
4	4	4	2	2	49	50	22	65	73
2	1	1	3	1	70	12	35	89	24
3	2	4	2	2	80	69	33	55	94
4	1	4	4	4	20	47	29	62	18
3	2	NA	1	1	91	59	17	11	19
1	1	1	4	4	23	23	41	11	28
3	2	2	3	1	75	68	76	89	28
1	4	1	4	1	3	23	38	NA	32
1	1	4	1	4	28	32	30	6	NA
2	2	NA	2	2	91	58	72	81	55
4	1	1	2	2	16	21	37	46	49
2	1	4	4	4	75	14	4	68	21
2	2	3	1	4	92	69	37	24	62
4	NA	1	1	4	13	57	35	42	60
1	1	3	2	3	9	NA	78	70	39
4	1	1	1	2	29	10	58	6	48
2	2	3	3	1	54	76	80	94	41
4	4	1	1	4	35	23	26	7	8
4	4	1	1	3	40	54	33	NA	78
1	4	3	NA	1	50	12	59	92	36
2	NA	2	2	NA	98	82	85	36	78
3	2	2	3	4	88	74	79	84	22
1	4	1	1	4	26	45	30	14	22
2	NA	3	2	2	50	NA	83	NA	75
3	3	3	3	NA	74	91	69	NA	93
4	NA	4	1	4	31	39	29	40	20
1	1	4	4	1	16	NA	6	30	37
4	1	NA	3	3	20	38	58	57	73
2	2	3	1	4	54	86	61	11	33
NA	1	1	1	4	45	7	13	18	46
1	1	1	3	2	6	9	NA	78	70
3	NA	3	3	NA	82	NA	67	78	76
4	4	4	1	1	22	32	NA	64	27
4	2	4	1	NA	30	93	37	29	NA
4	4	1	4	1	15	NA	30	19	54
1	NA	3	3	2	38	58	57	73	61
1	4	4	2	3	31	46	11	69	63
1	4	NA	1	1	9	15	NA	33	15
2	3	2	4	NA	56	43	46	50	33
1	4	1	1	4	52	7	10	55	42
4	4	4	1	4	49	47	67	28	52
2	4	3	2	1	68	41	64	56	43
3	3	2	3	4	91	75	63	88	13
1	4	NA	4	1	16	31	39	29	40
3	2	2	3	1	94	92	69	37	24
1	4	4	1	1	NA	35	23	26	7
3	2	3	2	1	51	51	88	53	45
2	3	2	3	4	54	46	62	93	22
4	1	4	NA	1	29	40	20	87	31
3	1	1	3	3	93	41	47	64	78
4	4	4	3	NA	33	69	26	88	69
1	NA	1	4	4	42	12	37	49	50
1	4	4	4	4	16	29	33	69	26
2	1	1	1	4	57	16	42	4	5
3	1	4	4	1	94	NA	35	23	26
1	2	4	4	4	20	NA	28	11	17
4	4	4	4	1	28	NA	45	14	9
1	4	4	4	4	28	10	23	20	41
4	4	1	NA	4	26	40	6	62	42
3	1	4	4	4	37	24	62	3	23
4	4	2	4	1	9	35	90	11	8
1	3	2	2	3	43	88	74	79	84
3	2	4	1	1	42	90	11	41	29
1	1	1	3	2	29	28	26	79	56
3	2	1	1	3	88	53	45	40	93
4	2	1	4	1	14	75	3	23	38
NA	3	3	2	3	58	57	73	61	71
2	2	3	3	3	97	82	98	93	76
1	1	1	1	4	31	34	28	19	31
1	4	1	1	1	8	37	12	32	13
3	1	4	2	3	89	24	31	NA	65
3	3	NA	2	1	73	NA	97	86	45
1	1	1	3	2	12	32	13	38	67
2	3	2	2	3	67	96	97	82	98
4	3	2	2	4	16	74	79	82	46
4	4	1	4	4	11	28	20	3	18
2	2	3	2	2	64	NA	79	96	90
2	1	1	3	4	53	45	40	93	41
1	3	2	NA	3	19	78	64	74	94
3	4	2	4	2	77	18	48	3	95
3	2	3	3	3	90	60	81	57	78
3	1	4	NA	1	75	9	15	NA	33
2	2	1	1	4	98	75	29	45	15
4	4	1	3	3	20	28	38	51	95
3	3	3	2	3	91	96	90	60	81
NA	4	1	1	1	68	29	10	58	6
1	2	2	NA	1	54	73	86	70	29
1	4	4	4	1	24	62	3	23	53
